applicant_id,age,income,credit_score,employment_years,education,gender,ethnicity,loan_amount,loan_purpose,approved
A00144,63,40362,778,16.8,Bachelor,Male,Asian,37080,education,1
A00145,44,58397,676,3.7,Master,Male,Hispanic,24630,auto,0
A00146,62,162242,686,9.6,Master,Male,White,12298,business,1
A00147,21,35241,644,0.6,PhD,Female,White,11831,home,1
A00148,33,145627,717,2.0,Other,Male,White,28133,personal,1
A00149,21,49177,787,10.8,Master,Male,White,31036,home,1
A00150,50,142791,731,1.0,High School,Female,White,17145,education,1
A00151,43,76889,734,1.1,Bachelor,Male,White,8905,personal,1
A00152,33,58939,728,1.0,Bachelor,Male,White,59920,home,1
A00153,34,47127,569,31.0,Bachelor,Male,Hispanic,50558,education,1
A00154,49,33710,609,5.8,High School,Female,White,4492,education,1
A00155,28,51301,663,1.5,Bachelor,Female,White,64322,auto,1
A00156,43,83986,621,7.8,Bachelor,Female,Hispanic,18635,business,1
A00157,47,48636,594,2.9,Bachelor,Male,Black,25642,auto,0
A00158,31,40539,530,0.5,Master,Male,White,54752,auto,0
A00159,31,42172,572,11.9,Bachelor,Female,Black,82621,auto,1
A00160,36,88919,659,9.0,Bachelor,Male,Hispanic,49133,business,1
A00161,47,102241,674,8.5,Bachelor,Male,Asian,26710,personal,1
A00162,32,32850,616,1.3,Bachelor,Male,White,7328,home,1
A00163,37,32821,686,7.6,High School,Male,White,4354,education,1
A00164,44,61550,645,2.8,Bachelor,Male,Black,44468,auto,0
A00165,29,122580,767,4.8,Bachelor,Female,White,64448,auto,1
A00166,46,97498,667,15.5,Master,Female,Hispanic,11479,personal,0
A00167,27,23130,735,12.4,High School,Female,Black,17750,business,1
A00168,27,41837,696,4.6,Other,Male,Hispanic,14103,personal,0
A00169,31,28047,567,3.4,Master,Female,Other,13806,business,0
A00170,33,41751,672,6.6,Bachelor,Female,Black,52050,business,0
A00171,22,128366,581,9.9,Bachelor,Female,Asian,26231,business,1
A00172,63,20877,671,7.6,Bachelor,Male,Black,18336,business,0
A00173,34,20000,620,2.9,Master,Female,White,184612,personal,0
A00174,56,29817,710,0.5,Master,Male,Hispanic,6991,auto,1
A00175,60,58243,572,3.8,Master,Female,Black,34143,home,0
A00176,56,71143,681,0.1,PhD,Female,Other,9516,education,1
A00177,57,63733,725,0.9,Bachelor,Female,White,19419,home,1
A00178,25,99251,752,8.0,Master,Female,White,24807,home,1
A00179,37,20000,618,4.5,Bachelor,Female,Hispanic,43289,home,1
A00180,53,100007,681,4.5,Bachelor,Female,White,17873,home,1
A00181,46,40649,694,4.3,Bachelor,Male,Black,16423,business,1
A00182,21,76031,803,5.0,Master,Male,White,17618,education,1
A00183,45,22157,561,6.9,High School,Female,White,9283,personal,0
A00184,56,49166,607,10.2,High School,Non-binary,White,36528,auto,1
A00185,57,56486,850,11.0,High School,Female,Hispanic,27586,auto,1
A00186,37,98071,658,2.6,PhD,Male,White,31198,education,1
A00187,31,20000,528,1.8,Bachelor,Female,Hispanic,20834,business,0
A00188,34,49933,633,13.8,Bachelor,Male,Hispanic,18876,personal,0
A00189,34,25561,458,1.4,Bachelor,Male,Black,56414,business,0
A00190,36,66389,699,23.4,Bachelor,Male,White,49882,education,1
A00191,34,78145,744,14.7,PhD,Male,White,68311,personal,1
A00192,41,106117,607,2.8,Other,Female,Hispanic,29675,home,1
A00193,22,35560,642,9.1,Master,Male,White,64999,education,1
A00194,33,85505,753,15.8,Master,Male,White,15790,auto,1
A00195,34,110917,539,0.3,High School,Female,Asian,18756,home,1
A00196,27,20000,574,5.7,High School,Male,White,57301,auto,0
A00197,59,70785,661,9.8,Bachelor,Male,White,43249,business,1
A00198,50,87125,619,10.1,Master,Male,Other,17459,auto,1
A00199,61,41972,656,0.5,High School,Male,White,9537,personal,0
A00200,45,23707,578,6.0,Master,Female,White,18710,business,1
A00201,25,86316,697,0.7,High School,Male,White,12734,business,1
A00202,60,23868,668,7.8,High School,Male,Hispanic,87518,auto,1
A00203,41,44045,723,0.6,Bachelor,Male,Asian,40458,personal,1
A00204,51,47854,696,3.7,Master,Male,Hispanic,11935,auto,1
A00205,37,75306,696,3.6,Master,Male,Other,9547,auto,1
A00206,42,33658,564,2.1,Bachelor,Male,White,11817,business,0
A00207,42,32508,719,2.4,Master,Male,Black,14086,business,1
A00208,33,52018,653,1.0,Master,Male,White,19276,auto,1
A00209,45,89664,666,2.3,Bachelor,Female,Asian,53725,auto,1
A00210,53,193391,763,11.4,Master,Male,Asian,10165,education,1
A00211,21,20000,622,28.3,High School,Male,White,137534,education,0
A00212,26,59231,788,1.4,Bachelor,Female,Hispanic,10356,home,1
A00213,58,25541,795,35.1,High School,Male,Black,7134,auto,1
A00214,46,90335,740,21.9,Bachelor,Female,White,85020,home,1
A00215,63,27913,601,7.4,Bachelor,Male,Black,63386,home,1
A00216,47,32702,505,8.1,High School,Male,Other,19036,auto,0
A00217,49,34421,766,0.2,Bachelor,Female,White,29883,home,1
A00218,60,46830,688,4.8,Master,Male,White,30493,business,0
A00219,50,59511,620,3.8,Bachelor,Male,Other,24572,business,1
A00220,35,65527,773,2.2,High School,Female,White,7807,auto,0
A00221,44,48851,611,16.1,High School,Non-binary,White,3024,personal,1
A00222,31,22072,646,6.0,Bachelor,Male,Hispanic,11206,education,0
A00223,35,75862,721,27.5,Master,Female,Black,94176,auto,1
A00224,50,47487,590,0.7,PhD,Male,White,97181,home,1
A00225,27,98424,671,6.4,Bachelor,Female,White,17863,education,1
A00226,50,32059,767,2.6,Master,Male,Hispanic,10235,personal,1
A00227,46,20000,696,11.4,Bachelor,Female,White,27515,home,0
A00228,34,48030,779,1.5,Other,Male,Black,31294,home,1
A00229,22,106678,770,13.0,High School,Female,Asian,35616,education,1
A00230,52,53990,680,14.1,Bachelor,Male,White,2917,personal,1
A00231,57,43486,493,10.1,Bachelor,Female,Asian,275461,auto,0
A00232,53,29079,591,10.1,Bachelor,Female,Hispanic,54501,business,1
A00233,39,140738,741,2.2,High School,Female,Asian,18801,education,1
A00234,49,26429,555,4.1,High School,Non-binary,White,12397,home,0
A00235,39,31721,653,2.1,Bachelor,Male,White,48525,personal,1
A00236,36,69010,707,5.0,Master,Female,Black,32738,home,0
A00237,35,20000,797,3.7,Master,Male,Asian,23711,education,1
A00238,30,105319,633,3.5,High School,Female,Other,31782,business,0
A00239,63,71290,628,0.7,PhD,Female,White,20127,business,1
A00240,50,84081,675,19.9,Bachelor,Male,White,30378,personal,1
A00241,28,68519,708,0.5,Other,Male,White,39383,business,1
A00242,59,44503,667,0.4,High School,Female,Black,28988,business,0
A00243,27,25902,763,0.0,Master,Female,Hispanic,27798,home,0
A00244,47,45069,616,6.2,PhD,Female,Hispanic,67123,auto,0
A00245,28,27305,689,23.2,Master,Female,White,6138,auto,1
A00246,36,65623,715,0.7,Master,Male,Other,11634,auto,1
A00247,49,79544,647,0.6,Bachelor,Female,White,22499,home,1
A00248,64,118905,747,4.4,Master,Female,White,12284,home,1
A00249,64,61270,691,5.0,Bachelor,Female,Black,16045,education,1
A00250,60,85369,743,21.8,Bachelor,Female,White,61709,business,1
A00251,31,41015,695,0.4,Other,Female,Hispanic,19551,personal,1
A00252,25,36791,710,8.7,High School,Female,Black,5098,personal,1
A00253,60,65134,629,2.9,Bachelor,Female,White,15698,education,1
A00254,61,38875,629,3.1,PhD,Female,White,23074,personal,0
A00255,33,57613,777,11.8,High School,Female,White,22737,education,1
A00256,21,25933,730,2.1,High School,Male,Black,34366,education,0
A00257,49,28883,598,6.3,Bachelor,Male,White,32193,auto,0
A00258,24,71771,694,0.2,Master,Female,White,19711,business,1
A00259,22,83450,490,0.4,PhD,Female,White,8480,auto,0
A00260,62,27135,634,10.2,High School,Female,Hispanic,15476,education,0
A00261,42,73303,756,1.2,Bachelor,Female,White,13383,personal,0
A00262,25,35609,669,7.7,Bachelor,Male,White,17534,education,1
A00263,49,49508,689,2.0,Master,Male,White,38289,auto,0
A00264,37,114710,438,16.2,Master,Female,White,30432,business,1
A00265,44,79577,648,7.6,Other,Female,White,42582,business,1
A00266,60,79025,707,5.4,Bachelor,Male,White,16199,business,1
A00267,31,154087,717,8.2,High School,Male,Hispanic,73621,home,1
A00268,49,32134,756,24.7,Bachelor,Male,White,37732,auto,1
A00269,57,27132,663,2.7,Bachelor,Male,White,24095,home,0
A00270,39,31784,666,11.9,Bachelor,Female,Other,35691,personal,1
A00271,63,42078,573,5.6,High School,Male,White,12828,auto,0
A00272,40,20000,663,0.0,High School,Male,White,4076,education,0
A00273,41,43284,579,7.4,PhD,Female,White,13556,personal,1
A00274,59,35357,532,2.8,High School,Female,White,40053,personal,0
A00275,48,78453,593,0.5,Bachelor,Female,White,23486,auto,0
A00276,59,60563,800,1.0,Master,Male,Asian,19742,personal,1
A00277,55,34186,658,0.1,High School,Male,White,11178,business,1
A00278,52,69840,697,14.8,High School,Male,Hispanic,4607,business,1
A00279,31,75656,638,1.9,Bachelor,Female,Other,68863,home,0
A00280,38,30911,536,13.7,Bachelor,Male,White,18651,business,1
A00281,59,36467,754,7.9,Bachelor,Female,Black,15620,business,1
A00282,48,20000,506,0.7,Bachelor,Female,White,12870,education,1
A00283,33,25478,635,2.3,High School,Female,White,60091,education,1
A00284,35,31398,675,3.7,High School,Male,Hispanic,44581,auto,0
A00285,55,51251,698,3.4,High School,Male,White,10159,business,0
A00286,28,27799,621,3.8,Bachelor,Female,Other,55917,home,1
A00287,25,36023,532,5.8,Bachelor,Male,Black,19612,auto,0
A00288,54,23501,615,17.3,PhD,Female,White,13515,education,1
A00289,33,54321,620,2.2,High School,Male,White,17415,home,1
A00290,54,63286,618,1.8,Bachelor,Non-binary,Black,11770,personal,1
A00291,44,62406,757,0.1,Bachelor,Female,White,7656,personal,1
A00292,64,49385,582,4.2,Master,Male,White,40982,education,0
A00293,44,20000,704,6.1,Bachelor,Female,White,18461,education,1
A00294,59,33793,692,2.1,High School,Female,White,36089,auto,0
A00295,58,38392,756,0.9,Bachelor,Female,Other,27716,auto,1
A00296,30,38484,669,4.3,Bachelor,Male,White,34160,personal,1
A00297,64,51276,743,2.1,Master,Male,White,4286,education,1
A00298,53,115303,666,5.0,High School,Female,Hispanic,11010,personal,1
A00299,25,79798,714,18.2,Master,Male,Hispanic,34734,home,1
A00300,21,27105,559,14.1,Bachelor,Female,Asian,7943,home,0
A00301,32,73647,468,7.9,Master,Male,Asian,29686,education,0
A00302,21,71982,710,7.9,High School,Female,White,7240,business,1
A00303,36,30223,714,14.9,Master,Male,White,22318,education,1
A00304,64,81578,718,1.8,Master,Female,Black,79856,personal,1
A00305,42,44523,638,7.6,Bachelor,Male,White,40932,home,1
A00306,22,21036,799,10.0,Bachelor,Male,Hispanic,5011,personal,1
A00307,42,64416,643,5.0,High School,Male,White,43420,education,1
A00308,30,55836,713,0.1,High School,Female,Asian,94635,auto,1
A00309,58,42761,727,3.0,Master,Male,Hispanic,206408,business,1
A00310,24,47931,817,14.0,Bachelor,Female,Black,32210,business,1
A00311,54,31842,654,11.4,Master,Male,White,7394,personal,1
A00312,40,70691,627,7.0,Master,Female,Other,31186,home,1
A00313,21,47759,560,0.6,Master,Female,Hispanic,78970,business,0
A00314,50,54169,804,4.6,Master,Male,Hispanic,18964,auto,1
A00315,41,60735,713,4.5,Bachelor,Male,Hispanic,50740,education,0
A00316,54,24520,716,0.3,Bachelor,Male,White,11252,education,1
A00317,48,28664,850,2.5,High School,Female,White,29669,business,1
A00318,55,20000,706,5.1,Master,Non-binary,White,3005,auto,1
A00319,41,68792,575,6.2,Other,Male,Black,10298,auto,1
A00320,21,23686,664,8.4,Bachelor,Female,Black,21918,education,1
A00321,26,53079,602,1.5,PhD,Female,White,16470,business,0
A00322,41,61242,648,6.4,Other,Female,Other,7781,personal,1
A00323,38,70362,647,2.8,Bachelor,Female,White,14768,home,1
A00324,55,23803,633,0.6,Master,Non-binary,Hispanic,28673,education,0
A00325,39,47141,568,3.9,Bachelor,Female,White,20558,home,0
A00326,58,133541,807,6.8,High School,Female,White,23126,business,1
A00327,29,137116,703,2.9,High School,Male,White,39560,business,1
A00328,37,88644,661,7.5,Bachelor,Female,Hispanic,16738,personal,0
A00329,54,60023,740,5.9,Master,Non-binary,Hispanic,65338,home,0
A00330,26,26820,717,1.9,Bachelor,Female,White,9982,business,1
A00331,35,75446,702,0.4,Master,Male,White,102991,business,0
A00332,54,44586,734,6.0,Master,Female,Black,53660,business,1
A00333,46,68618,690,5.5,Master,Male,White,16567,business,1
A00334,55,33533,733,1.2,High School,Female,Black,17475,education,1
A00335,43,44189,740,0.8,Bachelor,Male,White,25987,home,1
A00336,58,54094,693,2.1,High School,Female,Asian,35558,personal,1
A00337,59,56827,662,5.8,High School,Male,Hispanic,52872,auto,0
A00338,63,65922,802,1.3,High School,Male,White,7536,home,1
A00339,26,34630,641,8.7,High School,Male,Hispanic,31255,business,0
A00340,47,21895,711,9.2,High School,Male,White,4051,personal,1
A00341,26,129945,713,1.5,Bachelor,Male,Asian,19113,business,1
A00342,31,218284,631,0.7,Bachelor,Female,Black,70483,auto,1
A00343,34,64116,615,1.1,High School,Female,White,7086,personal,0
A00344,49,22150,651,21.8,PhD,Female,Hispanic,6127,personal,1
A00345,39,30825,640,1.3,Bachelor,Female,White,26281,auto,1
A00346,59,66534,563,1.0,PhD,Male,Asian,66832,education,1
A00347,34,109608,627,0.7,Bachelor,Female,Asian,28575,personal,1
A00348,48,23677,701,0.4,High School,Female,Black,4799,home,1
A00349,54,45496,781,0.5,PhD,Male,White,5730,auto,1
A00350,64,55136,724,20.7,PhD,Female,Black,23818,education,1
A00351,31,82351,472,0.1,Bachelor,Female,White,8574,home,1
A00352,53,39888,731,4.1,Bachelor,Female,White,24571,home,0
A00353,24,20000,635,0.7,Bachelor,Female,Asian,25765,business,1
A00354,44,71162,716,5.0,Bachelor,Male,White,14886,auto,1
A00355,39,96266,678,0.9,Master,Female,White,94070,auto,1
A00356,63,46650,664,11.6,Bachelor,Male,White,35325,auto,1
A00357,55,62513,671,15.2,High School,Female,Other,58062,home,1
A00358,61,36875,678,8.2,High School,Male,Asian,46003,business,0
A00359,58,29511,787,5.6,High School,Female,White,19534,auto,1
A00360,39,90749,678,7.2,High School,Female,White,18853,business,1
A00361,53,61851,766,4.6,Bachelor,Male,Hispanic,17359,personal,1
A00362,22,65789,755,2.6,PhD,Male,White,37982,education,1
A00363,45,120724,733,0.6,High School,Male,Other,13091,personal,1
A00364,23,26032,537,7.8,Bachelor,Female,Asian,87555,home,1
A00365,52,35199,769,6.3,High School,Female,Hispanic,12128,personal,1
A00366,63,53893,643,1.6,Bachelor,Male,White,26149,auto,0
A00367,50,34940,737,4.2,Bachelor,Female,Hispanic,18338,auto,0
A00368,57,78423,602,0.1,Bachelor,Female,Other,15357,personal,1
A00369,31,43807,585,3.8,Other,Male,White,125226,education,0
A00370,64,27023,838,2.6,Other,Female,Asian,15502,business,1
A00371,45,50993,603,0.3,Master,Male,White,17261,personal,0
A00372,50,54295,771,0.0,Master,Male,Other,12947,education,1
A00373,54,85888,689,2.1,Bachelor,Male,Black,22761,auto,1
A00374,49,62061,646,11.9,Bachelor,Male,White,20311,education,1
A00375,34,64646,676,17.4,Bachelor,Female,White,8996,auto,1
A00376,47,59407,575,24.1,Master,Female,White,15685,education,1
A00377,49,43785,678,7.8,High School,Male,White,35873,auto,1
A00378,58,31897,593,7.1,High School,Female,Asian,50090,personal,1
A00379,42,58296,648,1.4,High School,Male,White,22453,education,1
A00380,43,40139,754,0.3,Bachelor,Male,Other,23090,business,1
A00381,43,135116,700,11.4,Master,Female,White,16501,business,1
A00382,26,109678,561,25.9,High School,Female,Black,14735,auto,0
A00383,24,71661,748,3.4,Bachelor,Female,Other,10554,auto,0
A00384,21,61517,679,3.1,Bachelor,Male,Black,6340,personal,1
A00385,50,46500,636,2.7,Master,Male,Asian,12557,home,1
A00386,39,23001,739,1.4,High School,Male,Other,45398,auto,1
A00387,59,43057,666,4.8,High School,Female,Black,15685,business,1
A00388,51,52095,586,12.9,Bachelor,Male,Hispanic,16700,education,1
A00389,27,56256,827,2.5,Bachelor,Female,White,16442,business,1
A00390,25,64972,678,0.1,Master,Male,White,59621,home,1
A00391,37,85203,673,7.9,Bachelor,Male,White,10480,auto,1
A00392,61,32360,647,7.9,PhD,Male,Hispanic,27491,education,1
A00393,23,32537,774,14.4,Bachelor,Female,Black,20852,auto,1
A00394,29,117068,638,19.4,Bachelor,Female,Black,23256,education,1
A00395,22,77853,556,11.2,Other,Non-binary,Asian,26781,personal,1
A00396,39,38775,625,2.6,High School,Female,White,23057,business,1
A00397,64,45966,786,2.0,Master,Female,Other,41540,business,1
A00398,51,46090,746,1.9,High School,Male,White,21516,home,1
A00399,42,49958,659,1.1,Bachelor,Female,White,88920,education,1
A00400,27,65095,789,3.2,High School,Female,Black,22824,personal,1
A00401,36,224357,739,10.8,Bachelor,Female,White,5637,business,1
A00402,44,54932,658,4.5,Master,Male,Black,36704,business,1
A00403,33,72952,666,1.1,High School,Male,Hispanic,30142,personal,0
A00404,52,20000,706,0.1,High School,Female,Hispanic,22607,personal,1
A00405,64,36646,613,1.4,Bachelor,Male,White,17896,auto,0
A00406,30,102466,680,7.9,High School,Male,White,4057,auto,1
A00407,32,62404,704,3.6,Bachelor,Male,White,4640,auto,0
A00408,26,20000,545,1.6,Other,Female,White,82290,business,0
A00409,52,73453,664,0.7,High School,Male,White,13788,auto,1
A00410,41,154956,655,0.3,Bachelor,Female,White,47690,personal,1
A00411,33,20000,762,13.8,Bachelor,Female,Hispanic,6109,personal,1
A00412,30,121982,532,1.7,High School,Female,Asian,9532,business,1
A00413,24,20000,649,0.8,High School,Male,Hispanic,37907,home,1
A00414,41,86059,641,8.6,Master,Female,White,20292,business,1
A00415,51,48767,756,3.1,Bachelor,Male,Black,33864,auto,1
A00416,31,20000,676,11.1,Master,Male,White,21787,education,1
A00417,21,64066,823,0.9,Bachelor,Male,White,18654,auto,1
A00418,41,97782,732,12.7,Bachelor,Male,White,12784,home,1
A00419,50,60981,647,0.6,PhD,Female,Asian,8474,business,1
A00420,36,69626,699,0.8,PhD,Male,Black,67653,education,1
A00421,32,38291,651,0.0,PhD,Female,White,77176,business,0
A00422,27,20000,748,6.6,High School,Male,Black,9595,education,0
A00423,53,74244,573,1.3,Other,Non-binary,Other,9106,auto,1
